hh_ID,door_screens,house_type,concrete_house,water_supply_by_pipe,garbage_management,n_toilets_outside
344,0,Single,1,1,Burn,0
345,0,Single,1,Unknown,Burn,1
346,0,Single,1,1,Burn,0
347,0,Poles,0,1,Burn,0
348,0,Single,1,1,Burn,0
349,0,Poles,0,1,Burn,0
350,0,Single,1,1,Burn,0
351,0,Poles,0,1,Burn,0
352,0,Poles,0,1,Burn,1
353,0,Poles,1,1,Burn,1
354,0,Poles,0,1,Burn,1
355,0,Single,1,1,Burn,0
356,0,Single,1,1,Dump,0
357,1,Single,1,1,Car,0
358,0,Single,1,1,Car,0
359,0,Poles,0,1,Burn,1
360,0,Single,1,1,Burn,0
361,0,Poles,0,1,Car,0
362,0,Poles,0,1,Dump,1
363,0,Poles,1,1,Car,0
364,1,Single,1,1,Car,0
365,0,Single,1,1,Burn,0
366,0,Single,0,1,Burn,0
367,1,Poles,1,1,Burn,2
368,0,Single,1,1,Burn,1
369,1,Townhouse,1,1,Car,0
370,0,Single,1,1,Car,0
371,1,Single,1,1,Burn,0
372,0,Single,1,1,Burn,0
373,1,Single,1,1,Burn,0
374,0,Single,1,1,Burn,0
375,0,Single,1,1,Car,0
376,0,Single,1,1,Burn,2
377,0,Single,1,1,Burn,0
378,0,Single,1,1,Burn,2
379,0,Single,1,1,Burn,0
380,0,Single,1,1,Car,0
381,0,Single,1,1,Car,1
382,0,Single,1,1,Burn,1
383,1,Single,1,1,Burn,0
384,0,Single,1,1,Dump,0
385,0,Single,1,1,Car,0
386,1,Single,1,1,Car,0
387,0,Single,1,1,Car,0
388,1,Single,1,1,Car,0
389,0,Single,1,1,Car,0
390,1,Single,1,1,Car,0
391,0,Single,0,1,Car,0
392,1,Single,1,1,Car,0
393,0,Poles,1,1,Car,1
394,0,Single,1,1,Car,0
395,0,Single,1,1,Car,2
396,0,Single,1,1,Burn,0
397,0,Single,1,1,Car,0
398,1,Single,1,1,Car,1
399,0,Single,1,Unknown,Burn,1
400,0,Single,1,1,Car,0
401,0,Townhouse,1,1,Car,0
402,0,Poles,0,1,Burn,0
403,1,Single,1,1,Car,0
404,0,Single,1,1,Car,1
405,0,Single,1,1,Car,0
406,0,Single,0,1,Car,1
407,1,Single,1,1,Car,0
408,0,Single,1,1,Car,0
409,0,Single,1,1,Burn,0
