measure_name,location_name,fips,race_name,sex_name,age_name,cause_name,year,metric_name,val,upper,lower
Deaths,Monterey County,6053,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Monterey County,6053,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Monterey County,6053,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Monterey County,6053,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Monterey County,6053,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Napa County,6055,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Napa County,6055,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Napa County,6055,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Napa County,6055,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Napa County,6055,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Napa County,6055,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Nevada County,6057,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Nevada County,6057,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Nevada County,6057,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Nevada County,6057,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Nevada County,6057,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Nevada County,6057,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Orange County,6059,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Orange County,6059,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Orange County,6059,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Orange County,6059,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Orange County,6059,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Orange County,6059,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Placer County,6061,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Placer County,6061,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Placer County,6061,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Placer County,6061,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Placer County,6061,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Placer County,6061,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Plumas County,6063,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Plumas County,6063,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
